City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
217,Port Macquarie,AU,-31.43,152.92,63.9,93,100,16.06,overcast clouds
218,Houma,US,29.6,-90.72,82.0,83,0,4.61,clear sky
219,Agadez,NE,19.75,10.25,101.23,12,6,5.93,clear sky
220,Srednekolymsk,RU,67.45,153.68,37.08,84,100,9.64,overcast clouds
221,Tessalit,ML,20.2,1.01,102.24,16,1,7.16,clear sky
222,Mayor Pablo Lagerenza,PY,-19.93,-60.77,80.96,53,71,5.95,broken clouds
223,Ribeira Grande,PT,38.52,-28.7,77.4,78,20,9.22,few clouds
224,Alugan,PH,12.22,125.48,78.78,86,98,4.16,light rain
225,Tubmanburg,LR,6.87,-10.82,78.48,88,100,7.31,moderate rain
226,Lebu,CL,-37.62,-73.65,48.47,73,14,1.95,few clouds
227,Natitingou,BJ,10.3,1.38,82.22,72,97,2.17,light rain
228,Micheweni,TZ,-4.97,39.83,78.98,72,48,12.35,scattered clouds
229,Talcahuano,CL,-36.72,-73.12,42.48,100,20,5.75,few clouds
230,Sao Joao Da Barra,BR,-21.64,-41.05,77.09,66,95,7.43,moderate rain
231,Sobolevo,RU,54.43,31.9,47.73,92,100,7.29,light rain
232,Chiniot,PK,31.72,72.98,90.64,43,3,10.74,clear sky
233,Waverley,ZA,-25.7,28.26,74.32,49,68,13.4,light rain
234,Balabac,PH,7.99,117.06,81.75,77,99,6.44,overcast clouds
235,Souillac,MU,-20.52,57.52,73.78,73,75,11.5,broken clouds
236,Kamenka,RU,51.32,42.77,58.66,66,100,2.66,overcast clouds
237,Beringovskiy,RU,63.05,179.32,42.89,90,96,9.44,overcast clouds
238,Leningradskiy,RU,69.38,178.42,30.2,88,100,9.13,overcast clouds
239,Zhigansk,RU,66.77,123.37,30.99,88,95,17.27,overcast clouds
240,Naze,JP,28.37,129.48,74.32,84,96,21.52,light rain
241,Falesti,MD,47.57,27.71,57.47,61,70,11.81,broken clouds
242,Khani,GE,41.96,42.96,65.77,86,95,3.04,light rain
243,Requena,ES,39.49,-1.1,76.78,31,97,6.33,overcast clouds
